customer_id,acquisition_date,acquisition_channel,customer_key,recency,frequency,monetary,segment
CUST_00001,2022-06-07,paid_search,1,171,4,1587.92,Lost
CUST_00002,2022-02-04,organic_search,2,139,11,8468.57,Loyal
CUST_00003,2022-02-19,referral,3,9,9,5184.2,Loyal
CUST_00004,2022-01-02,paid_search,4,146,15,12735.83,Loyal
CUST_00005,2022-08-03,social_media,5,1,7,2877.33,At Risk
CUST_00006,2022-01-19,paid_search,6,32,11,7428.73,Champions
CUST_00007,2022-10-13,paid_search,7,16,5,5215.73,At Risk
CUST_00008,2022-07-23,social_media,8,44,6,5478.84,At Risk
CUST_00009,2022-10-09,social_media,9,199,3,1842.67,Lost
CUST_00010,2022-02-14,social_media,10,66,9,5625.12,At Risk
CUST_00011,2022-01-19,email,11,15,15,8230.2,Champions
CUST_00012,2022-02-05,email,12,294,7,5618.03,Lost
CUST_00013,2022-04-23,paid_search,13,171,3,1425.35,Lost
CUST_00014,2022-05-07,organic_search,14,73,6,4413.66,Lost
CUST_00015,2022-02-10,organic_search,15,25,15,8829.72,Champions
CUST_00016,2022-01-07,email,16,116,12,7194.63,Loyal
CUST_00017,2022-05-21,social_media,17,45,8,6173.57,Loyal
CUST_00018,2022-03-23,social_media,18,21,8,2671.04,At Risk
CUST_00019,2022-01-01,social_media,19,225,4,2923.71,Lost
CUST_00020,2022-01-11,organic_search,20,127,12,7402.98,Loyal
CUST_00021,2022-02-05,organic_search,21,103,8,7376.05,At Risk
CUST_00022,2022-04-24,referral,22,90,10,8619.45,Loyal
CUST_00023,2022-03-08,paid_search,23,108,6,4512.38,Lost
CUST_00024,2022-03-22,email,24,62,7,3664.88,At Risk
CUST_00025,2022-01-01,email,25,246,7,5166.42,Lost
CUST_00026,2022-04-09,social_media,26,62,9,8559.72,Loyal
CUST_00027,2022-01-26,social_media,27,268,5,3163.04,Lost
CUST_00028,2022-08-03,email,28,9,6,4700.84,At Risk
CUST_00029,2022-02-11,referral,29,103,13,9348.21,Loyal
CUST_00030,2022-04-06,organic_search,30,219,9,7564.87,At Risk
CUST_00031,2022-08-17,paid_search,31,37,6,6567.95,At Risk
CUST_00032,2022-02-19,paid_search,32,5,9,6252.36,Loyal
CUST_00033,2022-08-22,paid_search,33,101,7,3877.23,Lost
CUST_00034,2022-08-29,referral,34,193,4,2689.18,Lost
CUST_00035,2022-01-15,social_media,35,82,6,3743.14,Lost
CUST_00036,2022-08-11,paid_search,36,146,7,5296.43,At Risk
CUST_00037,2022-04-06,organic_search,37,23,9,8242.27,Loyal
CUST_00038,2022-03-07,email,38,85,10,7023.7,Loyal
CUST_00039,2022-04-12,paid_search,39,11,9,4434.14,Loyal
CUST_00040,2022-03-27,organic_search,40,157,5,6218.13,Lost
CUST_00041,2022-02-19,organic_search,41,95,11,6571.75,Loyal
CUST_00042,2022-01-05,organic_search,42,57,10,3794.53,At Risk
CUST_00043,2022-01-18,social_media,43,39,9,4880.63,Loyal
CUST_00044,2022-05-05,paid_search,44,97,9,10150.49,Loyal
CUST_00045,2022-03-09,social_media,45,342,3,1002.51,Lost
CUST_00046,2022-06-01,paid_search,46,23,9,6144.07,Loyal
CUST_00047,2022-01-29,organic_search,47,123,10,4400.41,At Risk
CUST_00048,2022-01-16,organic_search,48,18,7,4675.01,At Risk
CUST_00049,2022-08-01,social_media,49,209,7,2171.68,Lost
CUST_00050,2022-04-16,organic_search,50,241,9,7766.76,At Risk
CUST_00051,2022-01-27,organic_search,51,177,5,4272.32,Lost
CUST_00052,2022-02-04,referral,52,125,7,2832.28,Lost
CUST_00053,2022-10-27,referral,53,60,7,8788.3,Loyal
CUST_00054,2022-02-12,paid_search,54,199,7,7139.12,At Risk
CUST_00055,2022-07-09,referral,55,270,4,2479.91,Lost
CUST_00056,2022-02-27,referral,56,154,8,5253.14,At Risk
CUST_00057,2022-01-29,email,57,97,7,5384.83,At Risk
CUST_00058,2022-10-06,email,58,231,4,1248.14,Lost
CUST_00059,2022-01-26,paid_search,59,312,4,5276.01,Lost
CUST_00060,2022-03-30,organic_search,60,87,10,6836.83,Loyal
CUST_00061,2022-03-06,organic_search,61,70,7,6495.5,At Risk
CUST_00062,2022-02-24,paid_search,62,127,11,6219.74,Loyal
CUST_00063,2022-01-07,social_media,63,248,5,4156.2,Lost
CUST_00064,2022-03-02,email,64,30,11,7952.46,Champions
CUST_00065,2022-01-23,organic_search,65,271,5,3185.16,Lost
CUST_00066,2022-04-02,organic_search,66,30,9,6611.02,Loyal
CUST_00067,2022-03-04,referral,67,107,11,4449.48,At Risk
CUST_00068,2022-03-21,organic_search,68,6,10,4464.18,Loyal
CUST_00069,2022-01-04,organic_search,69,27,13,8092.78,Champions
CUST_00070,2022-02-23,referral,70,41,15,8377.68,Champions
CUST_00071,2022-05-29,organic_search,71,5,7,6699.96,Loyal
CUST_00072,2022-02-23,organic_search,72,28,8,3124.03,At Risk
CUST_00073,2022-06-09,email,73,12,5,2852.04,At Risk
CUST_00074,2022-09-01,referral,74,14,8,3524.06,Loyal
CUST_00075,2022-04-15,organic_search,75,25,7,2802.97,At Risk
CUST_00076,2022-03-05,email,76,85,9,8436.3,Loyal
CUST_00077,2022-04-19,paid_search,77,12,6,2795.13,At Risk
CUST_00078,2022-02-20,organic_search,78,40,6,2975.64,Lost
CUST_00079,2022-02-09,email,79,41,8,7274.47,Loyal
CUST_00080,2022-03-12,social_media,80,35,10,6153.3,Loyal
CUST_00081,2022-06-28,referral,81,132,8,6159.51,At Risk
CUST_00082,2022-03-19,organic_search,82,39,5,2515.69,Lost
CUST_00083,2022-02-09,paid_search,83,67,9,6125.2,Loyal
CUST_00084,2022-01-02,referral,84,178,4,3091.02,Lost
CUST_00085,2022-01-15,email,85,31,8,3165.37,At Risk
CUST_00086,2022-04-22,organic_search,86,119,4,2645.16,Lost
CUST_00087,2022-02-22,social_media,87,112,6,3805.77,Lost
CUST_00088,2022-02-24,paid_search,88,106,6,2394.92,Lost
CUST_00089,2022-03-01,paid_search,89,67,6,2955.91,Lost
CUST_00090,2022-01-09,email,90,73,12,7912.12,Champions
CUST_00091,2022-02-20,organic_search,91,19,8,5768.07,Loyal
CUST_00092,2022-07-04,email,92,58,9,5806.23,At Risk
CUST_00093,2022-08-11,organic_search,93,70,7,4617.46,At Risk
CUST_00094,2022-01-08,organic_search,94,74,4,4820.36,At Risk
CUST_00095,2022-01-29,email,95,152,7,2222.76,Lost
CUST_00096,2022-01-06,referral,96,242,9,5245.74,At Risk
CUST_00097,2022-05-11,paid_search,97,109,10,8976.22,Loyal
CUST_00098,2022-01-30,social_media,98,175,8,3863.26,Lost
CUST_00099,2022-03-18,organic_search,99,117,3,2710.49,Lost
CUST_00100,2022-02-13,email,100,17,7,2431.37,At Risk
CUST_00101,2022-02-20,organic_search,101,32,5,1333.58,Lost
CUST_00102,2022-02-12,email,102,314,2,587.18,Lost
CUST_00103,2022-03-06,paid_search,103,322,4,1381.11,Lost
CUST_00104,2022-09-12,email,104,194,8,8243.63,At Risk
CUST_00105,2022-06-02,paid_search,105,1,10,6087.93,Champions
CUST_00106,2022-01-26,email,106,65,13,5396.92,Loyal
CUST_00107,2022-03-26,organic_search,107,94,6,6965.75,At Risk
CUST_00108,2022-03-10,email,108,160,11,7262.2,Loyal
CUST_00109,2022-03-05,paid_search,109,11,8,6241.9,Loyal
CUST_00110,2022-01-14,email,110,4,13,9545.53,Champions
CUST_00111,2022-03-28,email,111,53,8,4626.68,At Risk
CUST_00112,2022-01-20,email,112,169,9,6359.41,At Risk
CUST_00113,2022-01-28,email,113,136,5,5392.36,Lost
CUST_00114,2022-05-12,paid_search,114,135,6,4646.09,Lost
CUST_00115,2022-04-30,email,115,47,10,5514.6,Loyal
CUST_00116,2022-01-15,email,116,152,11,5692.68,At Risk
CUST_00117,2023-02-24,paid_search,117,275,2,2777.28,Lost
CUST_00118,2022-02-13,email,118,13,3,1532.93,At Risk
CUST_00119,2022-04-05,organic_search,119,57,9,4860.31,At Risk
CUST_00120,2022-01-02,social_media,120,209,3,1374.47,Lost
CUST_00121,2022-02-24,paid_search,121,43,10,5688.53,Loyal
CUST_00122,2022-04-12,email,122,11,11,6192.06,Champions
CUST_00123,2022-03-30,email,123,18,10,3073.91,Loyal
CUST_00124,2022-02-16,organic_search,124,88,4,2653.31,Lost
CUST_00125,2022-09-18,email,125,92,4,1198.66,Lost
CUST_00126,2022-01-04,social_media,126,68,14,8874.66,Champions
CUST_00127,2022-02-03,email,127,61,8,7777.27,Loyal
CUST_00128,2022-01-17,email,128,34,9,4255.68,At Risk
CUST_00129,2022-08-14,social_media,129,31,4,1815.09,Lost
CUST_00130,2022-07-21,referral,130,48,4,1224.12,Lost
CUST_00131,2022-06-29,organic_search,131,81,6,2450.79,Lost
CUST_00132,2022-05-19,paid_search,132,123,11,7846.97,Loyal
CUST_00133,2022-09-25,organic_search,133,5,5,5012.41,At Risk
CUST_00134,2022-05-12,organic_search,134,107,11,7401.77,Loyal
CUST_00135,2022-12-21,organic_search,135,4,5,2535.36,At Risk
CUST_00136,2022-09-17,organic_search,136,77,4,2716.24,Lost
CUST_00137,2022-03-19,paid_search,137,17,10,5202.65,Loyal
CUST_00138,2022-01-30,organic_search,138,17,12,9885.39,Champions
CUST_00139,2022-10-07,organic_search,139,56,11,13639.55,Champions
CUST_00140,2022-02-05,email,140,60,6,3284.81,Lost
CUST_00141,2022-03-03,email,141,86,9,5096.99,At Risk
CUST_00142,2022-04-01,organic_search,142,218,7,5191.15,Lost
CUST_00143,2022-01-05,paid_search,143,522,2,1926.66,Lost
CUST_00144,2022-01-11,organic_search,144,44,8,9871.02,Loyal
CUST_00145,2022-02-22,email,145,48,7,5396.48,At Risk
CUST_00146,2022-01-08,organic_search,146,38,14,7204.3,Champions
CUST_00147,2022-01-15,referral,147,44,6,5197.55,At Risk
CUST_00148,2022-05-21,social_media,148,52,9,8086.85,Loyal
CUST_00149,2022-05-07,referral,149,11,8,5831.28,Loyal
CUST_00150,2022-04-29,email,150,314,8,4298.74,Lost
CUST_00151,2022-03-15,paid_search,151,205,8,5897.33,At Risk
CUST_00152,2022-01-23,social_media,152,55,8,5860.12,At Risk
CUST_00153,2022-07-06,referral,153,57,8,7091.37,Loyal
CUST_00154,2022-05-16,organic_search,154,18,12,7380.18,Champions
CUST_00155,2022-06-08,organic_search,155,198,11,9419.28,Loyal
CUST_00156,2022-02-13,organic_search,156,50,6,2140.51,Lost
CUST_00157,2022-02-01,email,157,14,7,4639.32,At Risk
CUST_00158,2022-05-30,social_media,158,55,6,2879.6,Lost
CUST_00159,2022-05-01,organic_search,159,42,10,7036.73,Loyal
CUST_00160,2022-02-22,email,160,103,10,8486.71,Loyal
CUST_00161,2022-01-15,paid_search,161,166,12,8813.37,Loyal
CUST_00162,2022-04-20,referral,162,60,10,4632.84,At Risk
CUST_00163,2022-02-15,organic_search,163,22,6,4848.06,At Risk
CUST_00164,2022-04-01,email,164,3,8,6457.84,Loyal
CUST_00165,2022-03-29,email,165,124,9,4171.48,At Risk
CUST_00166,2022-05-12,social_media,166,108,10,6299.77,Loyal
CUST_00167,2022-01-30,paid_search,167,28,12,6174.93,Champions
CUST_00168,2022-07-31,organic_search,168,10,7,3468.4,At Risk
CUST_00169,2022-01-11,organic_search,169,116,7,3088.67,Lost
CUST_00170,2022-08-25,referral,170,106,9,8173.47,Loyal
CUST_00171,2022-07-22,email,171,115,8,5506.03,At Risk
CUST_00172,2022-04-19,email,172,70,7,4154.67,At Risk
CUST_00173,2022-02-17,email,173,54,8,4709.7,At Risk
CUST_00174,2022-02-24,paid_search,174,74,9,5772.99,At Risk
CUST_00175,2022-01-11,organic_search,175,49,10,7025.57,Loyal
CUST_00176,2022-01-23,social_media,176,199,7,5037.6,Lost
CUST_00177,2022-01-12,organic_search,177,429,5,6210.4,Lost
CUST_00178,2022-01-30,email,178,58,10,8136.18,Loyal
CUST_00179,2022-01-07,paid_search,179,42,10,8895.97,Champions
CUST_00180,2022-05-11,email,180,171,10,10876.35,Loyal
CUST_00181,2022-05-01,email,181,163,6,4815.27,Lost
CUST_00182,2022-02-13,email,182,111,10,5378.91,At Risk
CUST_00183,2022-01-24,email,183,147,10,9133.55,Loyal
CUST_00184,2022-03-03,paid_search,184,23,8,6897.05,Loyal
CUST_00185,2022-07-12,email,185,99,11,7049.79,Loyal
CUST_00186,2022-06-16,organic_search,186,160,11,5920.57,At Risk
CUST_00187,2022-01-02,organic_search,187,147,8,5202.64,At Risk
CUST_00188,2022-01-19,organic_search,188,79,11,7150.56,Loyal
CUST_00189,2022-01-25,paid_search,189,140,6,4079.36,Lost
CUST_00190,2022-06-20,organic_search,190,28,7,6295.24,Loyal
CUST_00191,2022-03-29,organic_search,191,19,7,7672.89,Loyal
CUST_00192,2022-06-09,email,192,4,9,7070.76,Loyal
CUST_00193,2022-01-01,organic_search,193,147,10,5805.85,At Risk
CUST_00194,2022-01-12,paid_search,194,59,9,7419.03,Loyal
CUST_00195,2022-02-01,organic_search,195,569,2,2087.82,Lost
CUST_00196,2022-08-05,referral,196,24,3,1540.38,Lost
CUST_00197,2022-01-25,email,197,50,9,8326.54,Loyal
CUST_00198,2022-08-17,organic_search,198,7,9,6327.32,Loyal
CUST_00199,2022-02-02,paid_search,199,197,5,2832.67,Lost
CUST_00200,2022-01-04,paid_search,200,42,9,6411.18,Loyal
CUST_00201,2022-01-16,email,201,3,12,10111.32,Champions
CUST_00202,2022-05-10,social_media,202,153,8,6708.7,At Risk
CUST_00203,2022-02-22,email,203,38,11,8399.66,Champions
CUST_00204,2022-04-10,organic_search,204,14,12,5514.36,Champions
CUST_00205,2022-04-09,paid_search,205,225,5,1873.28,Lost
CUST_00206,2022-05-10,social_media,206,1,10,7872.7,Champions
CUST_00207,2022-10-13,organic_search,207,45,8,3911.67,At Risk
CUST_00208,2022-01-07,email,208,26,10,5524.93,Loyal
CUST_00209,2022-02-11,organic_search,209,21,10,7831.04,Champions
CUST_00210,2022-04-08,organic_search,210,37,11,5921.91,Loyal
CUST_00211,2022-07-21,email,211,177,6,4046.58,Lost
CUST_00212,2022-01-02,organic_search,212,19,11,6132.1,Champions
CUST_00213,2022-01-16,organic_search,213,10,8,6298.39,Loyal
CUST_00214,2022-04-16,email,214,133,5,2727.48,Lost
CUST_00215,2022-01-19,social_media,215,22,13,9802.57,Champions
CUST_00216,2022-04-22,social_media,216,162,5,3888.28,Lost
CUST_00217,2022-01-11,paid_search,217,162,5,4557.64,Lost
CUST_00218,2022-01-02,organic_search,218,24,10,7244.34,Loyal
CUST_00219,2022-03-08,social_media,219,2,8,3272.78,At Risk
CUST_00220,2022-02-15,email,220,51,9,7768.67,Loyal
CUST_00221,2022-02-22,paid_search,221,95,6,4088.35,Lost
CUST_00222,2022-04-24,organic_search,222,290,4,2340.08,Lost
CUST_00223,2022-02-20,email,223,142,8,5721.61,At Risk
CUST_00224,2022-08-02,email,224,5,9,11222.79,Champions
CUST_00225,2022-08-06,organic_search,225,48,6,3773.37,Lost
CUST_00226,2022-04-13,referral,226,110,5,2347.9,Lost
CUST_00227,2022-02-27,organic_search,227,71,6,2417.33,Lost
CUST_00228,2022-01-16,organic_search,228,64,13,11904.81,Champions
CUST_00229,2022-03-20,organic_search,229,42,10,8093.04,Champions
CUST_00230,2022-03-24,paid_search,230,1,9,3569.01,Loyal
CUST_00231,2022-01-14,organic_search,231,20,8,6704.44,Loyal
CUST_00232,2022-02-18,email,232,96,7,3129.37,Lost
CUST_00233,2022-02-15,organic_search,233,139,8,3040.75,Lost
CUST_00234,2022-01-01,organic_search,234,6,13,8408.07,Champions
CUST_00235,2022-03-05,organic_search,235,17,7,6252.2,Loyal
CUST_00236,2022-05-17,social_media,236,13,15,9225.62,Champions
CUST_00237,2022-03-18,referral,237,112,11,9232.31,Loyal
CUST_00238,2022-09-13,email,238,8,6,3487.65,At Risk
CUST_00239,2022-02-08,social_media,239,300,9,9708.65,At Risk
CUST_00240,2022-03-11,organic_search,240,14,8,7530.43,Loyal
CUST_00241,2022-07-29,organic_search,241,34,7,6613.34,Loyal
CUST_00242,2022-05-07,social_media,242,42,8,5296.19,Loyal
CUST_00243,2022-01-31,organic_search,243,83,11,6805.72,Loyal
CUST_00244,2022-02-20,organic_search,244,163,10,8728.22,Loyal
CUST_00245,2022-01-15,organic_search,245,33,7,4703.45,At Risk
CUST_00246,2022-02-20,email,246,66,6,2780.05,Lost
CUST_00247,2022-02-08,paid_search,247,270,8,4435.15,Lost
CUST_00248,2022-01-05,social_media,248,264,5,1533.17,Lost
CUST_00249,2022-01-02,organic_search,249,71,6,3157.15,Lost
CUST_00250,2022-02-17,organic_search,250,30,15,11819.21,Champions
CUST_00251,2022-06-16,social_media,251,270,2,1595.51,Lost
CUST_00252,2022-02-18,email,252,40,10,9489.25,Champions
CUST_00253,2022-04-09,social_media,253,117,11,6400.54,Loyal
CUST_00254,2022-02-10,referral,254,138,4,1752.9,Lost
CUST_00255,2022-03-08,organic_search,255,35,9,6851.43,Loyal
CUST_00256,2022-02-05,social_media,256,117,7,2599.42,Lost
CUST_00257,2022-05-28,organic_search,257,96,7,3713.55,Lost
CUST_00258,2022-03-10,organic_search,258,46,8,3441.43,At Risk
CUST_00259,2022-02-13,organic_search,259,49,10,4807.55,Loyal
CUST_00260,2022-06-22,paid_search,260,172,10,6963.88,At Risk
CUST_00261,2022-02-17,social_media,261,149,10,6931.96,At Risk
CUST_00262,2022-03-15,email,262,37,3,1536.92,Lost
