customer_id,recency,frequency,monetary,R_score,F_score,M_score,rfm_total,segment
CUST_00001,171,4,1587.92,1,1,1,3,Lost
CUST_00002,139,11,8468.57,2,5,5,12,Loyal
CUST_00003,9,9,5184.2,5,3,3,11,Loyal
CUST_00004,146,15,12735.83,2,5,5,12,Loyal
CUST_00005,1,7,2877.33,5,2,1,8,At Risk
CUST_00006,32,11,7428.73,4,5,4,13,Champions
CUST_00007,16,5,5215.73,5,1,3,9,At Risk
CUST_00008,44,6,5478.84,4,1,3,8,At Risk
CUST_00009,199,3,1842.67,1,1,1,3,Lost
CUST_00010,66,9,5625.12,3,3,3,9,At Risk
CUST_00011,15,15,8230.2,5,5,5,15,Champions
CUST_00012,294,7,5618.03,1,2,3,6,Lost
CUST_00013,171,3,1425.35,1,1,1,3,Lost
CUST_00014,73,6,4413.66,3,1,2,6,Lost
CUST_00015,25,15,8829.72,4,5,5,14,Champions
CUST_00016,116,12,7194.63,2,5,4,11,Loyal
CUST_00017,45,8,6173.57,4,3,4,11,Loyal
CUST_00018,21,8,2671.04,5,3,1,9,At Risk
CUST_00019,225,4,2923.71,1,1,1,3,Lost
CUST_00020,127,12,7402.98,2,5,4,11,Loyal
CUST_00021,103,8,7376.05,2,3,4,9,At Risk
CUST_00022,90,10,8619.45,2,4,5,11,Loyal
CUST_00023,108,6,4512.38,2,1,2,5,Lost
CUST_00024,62,7,3664.88,3,2,2,7,At Risk
CUST_00025,246,7,5166.42,1,2,3,6,Lost
CUST_00026,62,9,8559.72,3,3,5,11,Loyal
CUST_00027,268,5,3163.04,1,1,1,3,Lost
CUST_00028,9,6,4700.84,5,1,2,8,At Risk
CUST_00029,103,13,9348.21,2,5,5,12,Loyal
CUST_00030,219,9,7564.87,1,3,4,8,At Risk
CUST_00031,37,6,6567.95,4,1,4,9,At Risk
CUST_00032,5,9,6252.36,5,3,4,12,Loyal
CUST_00033,101,7,3877.23,2,2,2,6,Lost
CUST_00034,193,4,2689.18,1,1,1,3,Lost
CUST_00035,82,6,3743.14,3,1,2,6,Lost
CUST_00036,146,7,5296.43,2,2,3,7,At Risk
CUST_00037,23,9,8242.27,4,3,5,12,Loyal
CUST_00038,85,10,7023.7,2,4,4,10,Loyal
CUST_00039,11,9,4434.14,5,3,2,10,Loyal
CUST_00040,157,5,6218.13,1,1,4,6,Lost
CUST_00041,95,11,6571.75,2,5,4,11,Loyal
CUST_00042,57,10,3794.53,3,4,2,9,At Risk
CUST_00043,39,9,4880.63,4,3,3,10,Loyal
CUST_00044,97,9,10150.49,2,3,5,10,Loyal
CUST_00045,342,3,1002.51,1,1,1,3,Lost
CUST_00046,23,9,6144.07,4,3,4,11,Loyal
CUST_00047,123,10,4400.41,2,4,2,8,At Risk
CUST_00048,18,7,4675.01,5,2,2,9,At Risk
CUST_00049,209,7,2171.68,1,2,1,4,Lost
CUST_00050,241,9,7766.76,1,3,5,9,At Risk
CUST_00051,177,5,4272.32,1,1,2,4,Lost
CUST_00052,125,7,2832.28,2,2,1,5,Lost
CUST_00053,60,7,8788.3,3,2,5,10,Loyal
CUST_00054,199,7,7139.12,1,2,4,7,At Risk
CUST_00055,270,4,2479.91,1,1,1,3,Lost
CUST_00056,154,8,5253.14,1,3,3,7,At Risk
CUST_00057,97,7,5384.83,2,2,3,7,At Risk
CUST_00058,231,4,1248.14,1,1,1,3,Lost
CUST_00059,312,4,5276.01,1,1,3,5,Lost
CUST_00060,87,10,6836.83,2,4,4,10,Loyal
CUST_00061,70,7,6495.5,3,2,4,9,At Risk
CUST_00062,127,11,6219.74,2,5,4,11,Loyal
CUST_00063,248,5,4156.2,1,1,2,4,Lost
CUST_00064,30,11,7952.46,4,5,5,14,Champions
CUST_00065,271,5,3185.16,1,1,1,3,Lost
CUST_00066,30,9,6611.02,4,3,4,11,Loyal
CUST_00067,107,11,4449.48,2,5,2,9,At Risk
CUST_00068,6,10,4464.18,5,4,2,11,Loyal
CUST_00069,27,13,8092.78,4,5,5,14,Champions
CUST_00070,41,15,8377.68,4,5,5,14,Champions
CUST_00071,5,7,6699.96,5,2,4,11,Loyal
CUST_00072,28,8,3124.03,4,3,1,8,At Risk
CUST_00073,12,5,2852.04,5,1,1,7,At Risk
CUST_00074,14,8,3524.06,5,3,2,10,Loyal
CUST_00075,25,7,2802.97,4,2,1,7,At Risk
CUST_00076,85,9,8436.3,2,3,5,10,Loyal
CUST_00077,12,6,2795.13,5,1,1,7,At Risk
CUST_00078,40,6,2975.64,4,1,1,6,Lost
CUST_00079,41,8,7274.47,4,3,4,11,Loyal
CUST_00080,35,10,6153.3,4,4,4,12,Loyal
CUST_00081,132,8,6159.51,2,3,4,9,At Risk
CUST_00082,39,5,2515.69,4,1,1,6,Lost
CUST_00083,67,9,6125.2,3,3,4,10,Loyal
CUST_00084,178,4,3091.02,1,1,1,3,Lost
CUST_00085,31,8,3165.37,4,3,1,8,At Risk
CUST_00086,119,4,2645.16,2,1,1,4,Lost
CUST_00087,112,6,3805.77,2,1,2,5,Lost
CUST_00088,106,6,2394.92,2,1,1,4,Lost
CUST_00089,67,6,2955.91,3,1,1,5,Lost
CUST_00090,73,12,7912.12,3,5,5,13,Champions
CUST_00091,19,8,5768.07,5,3,3,11,Loyal
CUST_00092,58,9,5806.23,3,3,3,9,At Risk
CUST_00093,70,7,4617.46,3,2,2,7,At Risk
CUST_00094,74,4,4820.36,3,1,3,7,At Risk
CUST_00095,152,7,2222.76,1,2,1,4,Lost
CUST_00096,242,9,5245.74,1,3,3,7,At Risk
CUST_00097,109,10,8976.22,2,4,5,11,Loyal
CUST_00098,175,8,3863.26,1,3,2,6,Lost
CUST_00099,117,3,2710.49,2,1,1,4,Lost
CUST_00100,17,7,2431.37,5,2,1,8,At Risk
CUST_00101,32,5,1333.58,4,1,1,6,Lost
CUST_00102,314,2,587.18,1,1,1,3,Lost
CUST_00103,322,4,1381.11,1,1,1,3,Lost
CUST_00104,194,8,8243.63,1,3,5,9,At Risk
CUST_00105,1,10,6087.93,5,4,4,13,Champions
CUST_00106,65,13,5396.92,3,5,3,11,Loyal
CUST_00107,94,6,6965.75,2,1,4,7,At Risk
CUST_00108,160,11,7262.2,1,5,4,10,Loyal
CUST_00109,11,8,6241.9,5,3,4,12,Loyal
CUST_00110,4,13,9545.53,5,5,5,15,Champions
CUST_00111,53,8,4626.68,3,3,2,8,At Risk
CUST_00112,169,9,6359.41,1,3,4,8,At Risk
CUST_00113,136,5,5392.36,2,1,3,6,Lost
CUST_00114,135,6,4646.09,2,1,2,5,Lost
CUST_00115,47,10,5514.6,4,4,3,11,Loyal
CUST_00116,152,11,5692.68,1,5,3,9,At Risk
CUST_00117,275,2,2777.28,1,1,1,3,Lost
CUST_00118,13,3,1532.93,5,1,1,7,At Risk
CUST_00119,57,9,4860.31,3,3,3,9,At Risk
CUST_00120,209,3,1374.47,1,1,1,3,Lost
CUST_00121,43,10,5688.53,4,4,3,11,Loyal
CUST_00122,11,11,6192.06,5,5,4,14,Champions
CUST_00123,18,10,3073.91,5,4,1,10,Loyal
CUST_00124,88,4,2653.31,2,1,1,4,Lost
CUST_00125,92,4,1198.66,2,1,1,4,Lost
CUST_00126,68,14,8874.66,3,5,5,13,Champions
CUST_00127,61,8,7777.27,3,3,5,11,Loyal
CUST_00128,34,9,4255.68,4,3,2,9,At Risk
CUST_00129,31,4,1815.09,4,1,1,6,Lost
CUST_00130,48,4,1224.12,3,1,1,5,Lost
CUST_00131,81,6,2450.79,3,1,1,5,Lost
CUST_00132,123,11,7846.97,2,5,5,12,Loyal
CUST_00133,5,5,5012.41,5,1,3,9,At Risk
CUST_00134,107,11,7401.77,2,5,4,11,Loyal
CUST_00135,4,5,2535.36,5,1,1,7,At Risk
CUST_00136,77,4,2716.24,3,1,1,5,Lost
CUST_00137,17,10,5202.65,5,4,3,12,Loyal
CUST_00138,17,12,9885.39,5,5,5,15,Champions
CUST_00139,56,11,13639.55,3,5,5,13,Champions
CUST_00140,60,6,3284.81,3,1,1,5,Lost
CUST_00141,86,9,5096.99,2,3,3,8,At Risk
CUST_00142,218,7,5191.15,1,2,3,6,Lost
CUST_00143,522,2,1926.66,1,1,1,3,Lost
CUST_00144,44,8,9871.02,4,3,5,12,Loyal
CUST_00145,48,7,5396.48,3,2,3,8,At Risk
CUST_00146,38,14,7204.3,4,5,4,13,Champions
CUST_00147,44,6,5197.55,4,1,3,8,At Risk
CUST_00148,52,9,8086.85,3,3,5,11,Loyal
CUST_00149,11,8,5831.28,5,3,3,11,Loyal
CUST_00150,314,8,4298.74,1,3,2,6,Lost
CUST_00151,205,8,5897.33,1,3,3,7,At Risk
CUST_00152,55,8,5860.12,3,3,3,9,At Risk
CUST_00153,57,8,7091.37,3,3,4,10,Loyal
CUST_00154,18,12,7380.18,5,5,4,14,Champions
CUST_00155,198,11,9419.28,1,5,5,11,Loyal
CUST_00156,50,6,2140.51,3,1,1,5,Lost
CUST_00157,14,7,4639.32,5,2,2,9,At Risk
CUST_00158,55,6,2879.6,3,1,1,5,Lost
CUST_00159,42,10,7036.73,4,4,4,12,Loyal
CUST_00160,103,10,8486.71,2,4,5,11,Loyal
CUST_00161,166,12,8813.37,1,5,5,11,Loyal
CUST_00162,60,10,4632.84,3,4,2,9,At Risk
CUST_00163,22,6,4848.06,4,1,3,8,At Risk
CUST_00164,3,8,6457.84,5,3,4,12,Loyal
CUST_00165,124,9,4171.48,2,3,2,7,At Risk
CUST_00166,108,10,6299.77,2,4,4,10,Loyal
CUST_00167,28,12,6174.93,4,5,4,13,Champions
CUST_00168,10,7,3468.4,5,2,2,9,At Risk
CUST_00169,116,7,3088.67,2,2,1,5,Lost
CUST_00170,106,9,8173.47,2,3,5,10,Loyal
CUST_00171,115,8,5506.03,2,3,3,8,At Risk
CUST_00172,70,7,4154.67,3,2,2,7,At Risk
CUST_00173,54,8,4709.7,3,3,2,8,At Risk
CUST_00174,74,9,5772.99,3,3,3,9,At Risk
CUST_00175,49,10,7025.57,3,4,4,11,Loyal
CUST_00176,199,7,5037.6,1,2,3,6,Lost
CUST_00177,429,5,6210.4,1,1,4,6,Lost
CUST_00178,58,10,8136.18,3,4,5,12,Loyal
CUST_00179,42,10,8895.97,4,4,5,13,Champions
CUST_00180,171,10,10876.35,1,4,5,10,Loyal
CUST_00181,163,6,4815.27,1,1,3,5,Lost
CUST_00182,111,10,5378.91,2,4,3,9,At Risk
CUST_00183,147,10,9133.55,2,4,5,11,Loyal
CUST_00184,23,8,6897.05,4,3,4,11,Loyal
CUST_00185,99,11,7049.79,2,5,4,11,Loyal
CUST_00186,160,11,5920.57,1,5,3,9,At Risk
CUST_00187,147,8,5202.64,2,3,3,8,At Risk
CUST_00188,79,11,7150.56,3,5,4,12,Loyal
CUST_00189,140,6,4079.36,2,1,2,5,Lost
CUST_00190,28,7,6295.24,4,2,4,10,Loyal
CUST_00191,19,7,7672.89,5,2,4,11,Loyal
CUST_00192,4,9,7070.76,5,3,4,12,Loyal
CUST_00193,147,10,5805.85,2,4,3,9,At Risk
CUST_00194,59,9,7419.03,3,3,4,10,Loyal
CUST_00195,569,2,2087.82,1,1,1,3,Lost
CUST_00196,24,3,1540.38,4,1,1,6,Lost
CUST_00197,50,9,8326.54,3,3,5,11,Loyal
CUST_00198,7,9,6327.32,5,3,4,12,Loyal
CUST_00199,197,5,2832.67,1,1,1,3,Lost
CUST_00200,42,9,6411.18,4,3,4,11,Loyal
CUST_00201,3,12,10111.32,5,5,5,15,Champions
CUST_00202,153,8,6708.7,1,3,4,8,At Risk
CUST_00203,38,11,8399.66,4,5,5,14,Champions
CUST_00204,14,12,5514.36,5,5,3,13,Champions
CUST_00205,225,5,1873.28,1,1,1,3,Lost
CUST_00206,1,10,7872.7,5,4,5,14,Champions
CUST_00207,45,8,3911.67,4,3,2,9,At Risk
CUST_00208,26,10,5524.93,4,4,3,11,Loyal
CUST_00209,21,10,7831.04,5,4,5,14,Champions
CUST_00210,37,11,5921.91,4,5,3,12,Loyal
CUST_00211,177,6,4046.58,1,1,2,4,Lost
CUST_00212,19,11,6132.1,5,5,4,14,Champions
CUST_00213,10,8,6298.39,5,3,4,12,Loyal
CUST_00214,133,5,2727.48,2,1,1,4,Lost
CUST_00215,22,13,9802.57,4,5,5,14,Champions
CUST_00216,162,5,3888.28,1,1,2,4,Lost
CUST_00217,162,5,4557.64,1,1,2,4,Lost
CUST_00218,24,10,7244.34,4,4,4,12,Loyal
CUST_00219,2,8,3272.78,5,3,1,9,At Risk
CUST_00220,51,9,7768.67,3,3,5,11,Loyal
CUST_00221,95,6,4088.35,2,1,2,5,Lost
CUST_00222,290,4,2340.08,1,1,1,3,Lost
CUST_00223,142,8,5721.61,2,3,3,8,At Risk
CUST_00224,5,9,11222.79,5,3,5,13,Champions
CUST_00225,48,6,3773.37,3,1,2,6,Lost
CUST_00226,110,5,2347.9,2,1,1,4,Lost
CUST_00227,71,6,2417.33,3,1,1,5,Lost
CUST_00228,64,13,11904.81,3,5,5,13,Champions
CUST_00229,42,10,8093.04,4,4,5,13,Champions
CUST_00230,1,9,3569.01,5,3,2,10,Loyal
CUST_00231,20,8,6704.44,5,3,4,12,Loyal
CUST_00232,96,7,3129.37,2,2,1,5,Lost
CUST_00233,139,8,3040.75,2,3,1,6,Lost
CUST_00234,6,13,8408.07,5,5,5,15,Champions
CUST_00235,17,7,6252.2,5,2,4,11,Loyal
CUST_00236,13,15,9225.62,5,5,5,15,Champions
CUST_00237,112,11,9232.31,2,5,5,12,Loyal
CUST_00238,8,6,3487.65,5,1,2,8,At Risk
CUST_00239,300,9,9708.65,1,3,5,9,At Risk
CUST_00240,14,8,7530.43,5,3,4,12,Loyal
CUST_00241,34,7,6613.34,4,2,4,10,Loyal
CUST_00242,42,8,5296.19,4,3,3,10,Loyal
CUST_00243,83,11,6805.72,3,5,4,12,Loyal
CUST_00244,163,10,8728.22,1,4,5,10,Loyal
CUST_00245,33,7,4703.45,4,2,2,8,At Risk
CUST_00246,66,6,2780.05,3,1,1,5,Lost
CUST_00247,270,8,4435.15,1,3,2,6,Lost
CUST_00248,264,5,1533.17,1,1,1,3,Lost
CUST_00249,71,6,3157.15,3,1,1,5,Lost
CUST_00250,30,15,11819.21,4,5,5,14,Champions
CUST_00251,270,2,1595.51,1,1,1,3,Lost
CUST_00252,40,10,9489.25,4,4,5,13,Champions
CUST_00253,117,11,6400.54,2,5,4,11,Loyal
CUST_00254,138,4,1752.9,2,1,1,4,Lost
CUST_00255,35,9,6851.43,4,3,4,11,Loyal
CUST_00256,117,7,2599.42,2,2,1,5,Lost
CUST_00257,96,7,3713.55,2,2,2,6,Lost
CUST_00258,46,8,3441.43,4,3,2,9,At Risk
CUST_00259,49,10,4807.55,3,4,3,10,Loyal
CUST_00260,172,10,6963.88,1,4,4,9,At Risk
CUST_00261,149,10,6931.96,1,4,4,9,At Risk
CUST_00262,37,3,1536.92,4,1,1,6,Lost
CUST_00263,75,11,4944.9,3,5,3,11,Loyal
CUST_00264,170,11,7073.4,1,5,4,10,Loyal
CUST_00265,45,8,6404.37,4,3,4,11,Loyal
CUST_00266,27,7,5232.23,4,2,3,9,At Risk
CUST_00267,48,10,7003.56,3,4,4,11,Loyal
CUST_00268,113,10,7814.45,2,4,5,11,Loyal
CUST_00269,24,8,5428.34,4,3,3,10,Loyal
CUST_00270,35,11,8773.31,4,5,5,14,Champions
CUST_00271,317,3,1960.11,1,1,1,3,Lost
CUST_00272,39,8,4558.04,4,3,2,9,At Risk
CUST_00273,62,6,4786.04,3,1,3,7,At Risk
CUST_00274,118,10,8278.16,2,4,5,11,Loyal
CUST_00275,100,6,6535.32,2,1,4,7,At Risk
CUST_00276,26,8,3789.5,4,3,2,9,At Risk
CUST_00277,196,7,6736.57,1,2,4,7,At Risk
CUST_00278,40,9,6530.54,4,3,4,11,Loyal
CUST_00279,68,13,12421.74,3,5,5,13,Champions
CUST_00280,116,9,4916.5,2,3,3,8,At Risk
CUST_00281,81,5,3777.32,3,1,2,6,Lost
CUST_00282,72,11,6565.37,3,5,4,12,Loyal
CUST_00283,242,4,970.76,1,1,1,3,Lost
CUST_00284,66,9,7127.43,3,3,4,10,Loyal
CUST_00285,65,16,11473.77,3,5,5,13,Champions
CUST_00286,68,8,2736.17,3,3,1,7,At Risk
CUST_00287,77,4,2497.62,3,1,1,5,Lost
CUST_00288,60,8,3242.57,3,3,1,7,At Risk
CUST_00289,62,6,2581.02,3,1,1,5,Lost
CUST_00290,269,5,3143.3,1,1,1,3,Lost
CUST_00291,21,6,4372.15,5,1,2,8,At Risk
CUST_00292,9,9,4020.76,5,3,2,10,Loyal
CUST_00293,41,7,8028.56,4,2,5,11,Loyal
CUST_00294,191,11,5207.73,1,5,3,9,At Risk
CUST_00295,202,9,8860.29,1,3,5,9,At Risk
CUST_00296,326,8,5540.97,1,3,3,7,At Risk
CUST_00297,8,10,6853.95,5,4,4,13,Champions
CUST_00298,155,4,4049.17,1,1,2,4,Lost
CUST_00299,223,7,4798.08,1,2,3,6,Lost
CUST_00300,85,5,1536.72,2,1,1,4,Lost
CUST_00301,36,5,3509.92,4,1,2,7,At Risk
CUST_00302,82,10,7589.75,3,4,4,11,Loyal
CUST_00303,87,5,3386.96,2,1,1,4,Lost
CUST_00304,4,9,6092.08,5,3,4,12,Loyal
CUST_00305,5,9,6622.7,5,3,4,12,Loyal
CUST_00306,116,7,3943.65,2,2,2,6,Lost
CUST_00307,38,9,7921.39,4,3,5,12,Loyal
CUST_00308,191,3,2240.71,1,1,1,3,Lost
CUST_00309,33,6,3335.76,4,1,1,6,Lost
CUST_00310,48,5,4167.48,3,1,2,6,Lost
CUST_00311,43,9,7811.69,4,3,5,12,Loyal
CUST_00312,86,6,3606.34,2,1,2,5,Lost
CUST_00313,75,12,9614.4,3,5,5,13,Champions
CUST_00314,86,6,5924.36,2,1,3,6,Lost
CUST_00315,50,7,4212.74,3,2,2,7,At Risk
CUST_00316,189,9,4642.86,1,3,2,6,Lost
CUST_00317,143,6,5950.39,2,1,3,6,Lost
CUST_00318,38,7,6635.89,4,2,4,10,Loyal
CUST_00319,53,8,2289.92,3,3,1,7,At Risk
CUST_00320,56,5,1450.85,3,1,1,5,Lost
CUST_00321,9,4,2387.46,5,1,1,7,At Risk
CUST_00322,87,5,2747.88,2,1,1,4,Lost
CUST_00323,57,8,6466.03,3,3,4,10,Loyal
CUST_00324,92,9,5339.2,2,3,3,8,At Risk
CUST_00325,21,7,6104.98,5,2,4,11,Loyal
CUST_00326,43,11,8098.09,4,5,5,14,Champions
CUST_00327,3,8,3129.1,5,3,1,9,At Risk
CUST_00328,210,6,3941.33,1,1,2,4,Lost
CUST_00329,426,6,3179.03,1,1,1,3,Lost
CUST_00330,109,12,7145.09,2,5,4,11,Loyal
CUST_00331,162,10,8978.34,1,4,5,10,Loyal
CUST_00332,367,5,4973.11,1,1,3,5,Lost
CUST_00333,18,6,6142.79,5,1,4,10,Loyal
CUST_00334,492,1,316.32,1,1,1,3,Lost
CUST_00335,20,13,7515.95,5,5,4,14,Champions
CUST_00336,155,5,4192.76,1,1,2,4,Lost
CUST_00337,66,8,3631.0,3,3,2,8,At Risk
CUST_00338,14,11,5880.94,5,5,3,13,Champions
CUST_00339,38,6,6553.04,4,1,4,9,At Risk
CUST_00340,37,10,6932.53,4,4,4,12,Loyal
CUST_00341,4,15,10970.22,5,5,5,15,Champions
CUST_00342,298,12,8421.19,1,5,5,11,Loyal
CUST_00343,1,9,4986.38,5,3,3,11,Loyal
CUST_00344,75,7,5509.87,3,2,3,8,At Risk
CUST_00345,19,6,3482.89,5,1,2,8,At Risk
CUST_00346,131,8,4655.71,2,3,2,7,At Risk
CUST_00347,84,9,3802.24,3,3,2,8,At Risk
CUST_00348,31,8,4317.23,4,3,2,9,At Risk
CUST_00349,19,7,6926.55,5,2,4,11,Loyal
CUST_00350,32,7,5876.62,4,2,3,9,At Risk
CUST_00351,6,7,1658.39,5,2,1,8,At Risk
CUST_00352,49,11,7756.45,3,5,5,13,Champions
CUST_00353,64,16,16228.49,3,5,5,13,Champions
CUST_00354,130,12,9056.29,2,5,5,12,Loyal
CUST_00355,114,6,3781.46,2,1,2,5,Lost
CUST_00356,79,5,2196.46,3,1,1,5,Lost
CUST_00357,64,7,4555.99,3,2,2,7,At Risk
CUST_00358,21,6,5903.59,5,1,3,9,At Risk
CUST_00359,113,6,3024.2,2,1,1,4,Lost
CUST_00360,68,6,3514.36,3,1,2,6,Lost
